PostId,PostUrl,PostEngagement,Platform,ChannelID,ChannelName,ChannelUid,ChannelUrl,ChannelEngagement,post_body_text,post_type_true_label,GoogleAudioText,VoskAudioText,EmbeddedContentText,published_at,post_data,post_media_urls,LikesCount,SharesCount,CommentsCount,ViewsCount,post_media_file,embedded_post_text,search_data
528452546,https://twitter.com/realDonaldTrump/status/1928797140408533377,,Twitter,14001198,Donald J. Trump,blank_for_now,blank_for_now,"{""follower_count"":105433744,""following_count"":53,""like_count"":null,""post_count"":59771,""views_count"":null,""comment_count"":null,""share_count"":null}",https://t.co/ttc8fsXNVF,multimedia, ,no longer populated,,2025-05-31T12:54:08.000Z,post data removed,https://www.junkipedia.org/rails/active_storage/blobs/redirect/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaHBCRi9WVFQ4PSIsImV4cCI6bnVsbCwicHVyIjoiYmxvYl9pZCJ9fQ==--ecc0a6a1666ee9623328d7f0f2338f959bdcba91/post-14001198-528452546-thumbnail,374413,52340,18280,13598142,,,
524629281,https://twitter.com/realDonaldTrump/status/1927090010353721796,,Twitter,14001198,Donald J. Trump,blank_for_now,blank_for_now,"{""follower_count"":105433386,""following_count"":53,""like_count"":null,""post_count"":59771,""views_count"":null,""comment_count"":null,""share_count"":null}",https://t.co/b19JtrkCiS,multimedia, ,no longer populated,,2025-05-26T19:50:36.000Z,post data removed,https://www.junkipedia.org/rails/active_storage/blobs/redirect/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaHBCUCtGeno0PSIsImV4cCI6bnVsbCwicHVyIjoiYmxvYl9pZCJ9fQ==--c0c6382c3af69372347c13abedc74763b7f97232/post-14001198-524629281-thumbnail,328895,46401,21163,30490858,,,
522872445,https://twitter.com/realDonaldTrump/status/1926281665929691590,,Twitter,14001198,Donald J. Trump,blank_for_now,blank_for_now,"{""follower_count"":105429848,""following_count"":53,""like_count"":null,""post_count"":59771,""views_count"":null,""comment_count"":null,""share_count"":null}",https://t.co/ymnea3Wf69,multimedia, ,no longer populated,,2025-05-24T14:18:32.000Z,post data removed,,120723,21960,12400,34815923,,,
520771899,https://twitter.com/realDonaldTrump/status/1925548216243703820,,Twitter,14001198,Donald J. Trump,blank_for_now,blank_for_now,"{""follower_count"":105430891,""following_count"":53,""like_count"":null,""post_count"":59771,""views_count"":null,""comment_count"":null,""share_count"":null}","“THE ONE, BIG, BEAUTIFUL BILL” has PASSED the House of Representatives! This is arguably the most significant piece of Legislation that will ever be signed in the History of our Country! The Bill includes MASSIVE Tax CUTS, No Tax on Tips, No Tax on Overtime, Tax Deductions when you purchase an American Made Vehicle, along with strong Border Security measures, Pay Raises for our ICE and Border Patrol Agents, Funding for the Golden Dome, “TRUMP Savings Accounts” for newborn babies, and much more! Great job by Speaker Mike Johnson, and the House Leadership, and thank you to every Republican who voted YES on this Historic Bill! Now, it’s time for our friends in the United States Senate to get to work, and send this Bill to my desk AS SOON AS POSSIBLE! There is no time to waste. The Democrats have lost control of themselves, and are aimlessly wandering around, showing no confidence, grit, or determination. They have forgotten their landslide loss in the Presidential Election, and are warped in the past, hoping someday to revive Open Borders for the World’s criminals to be able to pour into our Country, men to be able to play in women’s sports, and transgender for everybody. They don’t realize that these things, and so many more like them, will NEVER AGAIN happen!",text, ,no longer populated,,2025-05-22T13:44:04.000Z,post data removed,,360624,57659,39828,52727374,,,
519932850,https://twitter.com/realDonaldTrump/status/1925201677914603580,,Twitter,14001198,Donald J. Trump,blank_for_now,blank_for_now,"{""follower_count"":105421518,""following_count"":53,""like_count"":null,""post_count"":59771,""views_count"":null,""comment_count"":null,""share_count"":null}",https://t.co/ZuagVWL4KS,multimedia, ,no longer populated,,2025-05-21T14:47:03.000Z,post data removed,https://www.junkipedia.org/rails/active_storage/blobs/redirect/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaHBCSDZkTEQ0PSIsImV4cCI6bnVsbCwicHVyIjoiYmxvYl9pZCJ9fQ==--3f4fb9191100c9f6b694f5478b3121d933b31c0c/post-14001198-519932850-thumbnail,564321,71124,43222,81481354,,,
518404723,https://twitter.com/realDonaldTrump/status/1924523182909747657,,Twitter,14001198,Donald J. Trump,blank_for_now,blank_for_now,"{""follower_count"":105425379,""following_count"":53,""like_count"":null,""post_count"":59771,""views_count"":null,""comment_count"":null,""share_count"":null}",https://t.co/q5CPyHZkLD,multimedia, ,no longer populated,,2025-05-19T17:50:57.000Z,post data removed,https://www.junkipedia.org/rails/active_storage/blobs/redirect/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaHBCQUNKL0QwPSIsImV4cCI6bnVsbCwicHVyIjoiYmxvYl9pZCJ9fQ==--13f894e05b3c4c7639eb5cbc38d12edb4665e986/post-14001198-518404723-thumbnail,482757,68100,39372,58495269,,,
517096897,https://twitter.com/realDonaldTrump/status/1923793436068487574,,Twitter,14001198,Donald J. Trump,blank_for_now,blank_for_now,"{""follower_count"":105419130,""following_count"":53,""like_count"":null,""post_count"":59771,""views_count"":null,""comment_count"":null,""share_count"":null}",🇦🇪🇺🇸 https://t.co/7fRFm4zCL5,both, ,no longer populated,,2025-05-17T17:31:12.000Z,post data removed,https://www.junkipedia.org/rails/active_storage/blobs/redirect/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaHBCT2tiMEQwPSIsImV4cCI6bnVsbCwicHVyIjoiYmxvYl9pZCJ9fQ==--66292c135a5e7f3dc2d5651e78b8e2bcf9b5df1b/post-14001198-517096897-thumbnail,196268,27917,14132,36029191,,,
517096863,https://twitter.com/realDonaldTrump/status/1923793069138178293,,Twitter,14001198,Donald J. Trump,blank_for_now,blank_for_now,"{""follower_count"":105419130,""following_count"":53,""like_count"":null,""post_count"":59771,""views_count"":null,""comment_count"":null,""share_count"":null}",🇶🇦🇺🇸 https://t.co/v1NwTQPWLO,both, ,no longer populated,,2025-05-17T17:29:44.000Z,post data removed,https://www.junkipedia.org/rails/active_storage/blobs/redirect/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaHBCSzRiMEQwPSIsImV4cCI6bnVsbCwicHVyIjoiYmxvYl9pZCJ9fQ==--fe435209f4be29de14f4f8ffcaf5a16e1cf846ab/post-14001198-517096863-thumbnail,332928,46557,14907,52434430,,,
517096839,https://twitter.com/realDonaldTrump/status/1923792625028497464,,Twitter,14001198,Donald J. Trump,blank_for_now,blank_for_now,"{""follower_count"":105432874,""following_count"":53,""like_count"":null,""post_count"":59771,""views_count"":null,""comment_count"":null,""share_count"":null}",🇸🇦🇺🇸 https://t.co/i5cRnVmaFv,both, ,no longer populated,,2025-05-17T17:27:58.000Z,post data removed,https://www.junkipedia.org/rails/active_storage/blobs/redirect/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaHBCSUliMEQwPSIsImV4cCI6bnVsbCwicHVyIjoiYmxvYl9pZCJ9fQ==--5e16e61f42d746f71ee8404d60cf12c3c3727a17/post-14001198-517096839-thumbnail,339414,49684,12587,47706426,,,
516224256,https://twitter.com/realDonaldTrump/status/1923432648103333919,,Twitter,14001198,Donald J. Trump,blank_for_now,blank_for_now,"{""follower_count"":105431699,""following_count"":53,""like_count"":null,""post_count"":59771,""views_count"":null,""comment_count"":null,""share_count"":null}","THE SUPREME COURT IS BEING PLAYED BY THE RADICAL LEFT LOSERS, WHO HAVE NO SUPPORT, THE PUBLIC HATES THEM, AND THEIR ONLY HOPE IS THE INTIMIDATION OF THE COURT, ITSELF. WE CAN’T LET THAT HAPPEN TO OUR COUNTRY!",text, ,no longer populated,,2025-05-16T17:37:33.000Z,post data removed,,338502,53140,33299,50561696,,,
